"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7361142142113186602""","","=""7021608990233576453""","lwms22","🐸L I S A","Nobody leaves a note anymore.","23/04/2024, 21:11:39","116","No","49","No","https://www.tiktok.com/@lwms22"
"=""7361142951739474730""","=""7361142142113186602""","=""6874720409079415814""","flirtingwithvegan","Flirting With Vegan","they said she left a note","23/04/2024, 21:14:43","88","No","","","https://www.tiktok.com/@flirtingwithvegan"
"=""7361148356820763425""","=""7361142142113186602""","=""6981858827315807238""","lytqlr","em","people do leave notes??? like all the time","23/04/2024, 21:35:22","75","No","","","https://www.tiktok.com/@lytqlr"
"=""7361155601223861035""","=""7361142142113186602""","=""6864230063895102469""","rainbow_vyxen","Kristy Finkle","I leave notes for my kids all the time telling them information or where I’m at.","23/04/2024, 22:03:52","5","No","","","https://www.tiktok.com/@rainbow_vyxen"
"=""7361143948674466590""","=""7361142142113186602""","=""6618006324046184454""","mar.ta.1","MarMar","EXACTLY….. no one writes anymore…. So I’m assuming it was a boomer who killed her… CAUSE WHO DOESNT HAVE A CELL PHONE TO EMAIL/TEXT!?!?!","23/04/2024, 21:18:20","9","No","","","https://www.tiktok.com/@mar.ta.1"
"=""7361144336376333061""","=""7361142142113186602""","=""6734042747185873926""","malenabozzini","Malena","??????","23/04/2024, 21:19:56","65","No","","","https://www.tiktok.com/@malenabozzini"
"=""7361144397584892718""","=""7361142142113186602""","=""6804959450623394822""","chiaranicolegero","Chiara Nicole","Take a deep breath… and consider she might have left a note. Let’s try to mourn her without being conspiratorial.","23/04/2024, 21:20:32","124","No","","","https://www.tiktok.com/@chiaranicolegero"
"=""7361144472493409067""","=""7361142142113186602""","=""6640123092427374597""","velvetghosts","𝔳𝔢𝔩𝔳𝔢𝔱𝔤𝔥𝔬𝔰𝔱𝔰","this is so insensitive lol, tons of people don’t leave a note. My brother didn’t. It just depends on the persons mindset and motive.","23/04/2024, 21:20:39","38","No","","","https://www.tiktok.com/@velvetghosts"
"=""7361144685765559046""","=""7361142142113186602""","=""6829636417837351941""","donitadonsdale_ck","Donita Donsdale","Am surprised pipo believe she did it herself 😳","23/04/2024, 21:21:12","0","No","","","https://www.tiktok.com/@donitadonsdale_ck"
"=""7361144679189807918""","=""7361142142113186602""","=""6779662359368762373""","phxrobb","cash cow","What? Get help","23/04/2024, 21:21:25","13","No","","","https://www.tiktok.com/@phxrobb"
